...1,age,female,hisp,education,earnings,hours,week,union,uncov,region,race,marital,l_earnings
3,32,1,0,12,33000,40,52,0,0,3,1,7,10.4042628404486
503,43,1,0,13,35000,40,52,0,0,1,1,5,10.4631033404715
32,51,1,0,18,407720,40,52,0,0,1,1,1,12.9183359432823
632,35,1,1,12,25000,40,52,0,0,2,1,1,10.1266311038503
417,25,1,0,18,15500,38,52,0,0,1,1,7,9.64859530290734
611,43,1,0,14,59000,70,52,0,0,3,1,1,10.9852927228879
730,29,1,0,13,26000,40,50,0,0,2,1,5,10.1658518170036
788,20,1,1,12,14000,41,52,0,0,4,1,1,9.5468126085974
218,51,1,0,14,60000,50,52,0,0,4,2,5,11.0020998412042
912,46,1,0,12,30000,55,52,0,0,1,1,7,10.3089526606443
599,44,1,1,13,48000,40,52,1,0,1,1,1,10.77895628989
319,23,1,0,12,28000,40,52,0,0,2,1,5,10.2399597891573
351,35,1,1,12,43000,40,52,0,0,1,1,7,10.6689553946757
492,55,1,1,12,36000,50,52,0,0,1,1,6,10.4912742174382
901,57,1,0,16,30900,40,52,0,0,3,3,5,10.3385114628858
848,38,1,0,12,40000,40,52,0,0,4,1,1,10.5966347330961
554,33,1,0,16,75000,45,52,0,0,2,1,1,11.2252433925184
755,52,0,0,16,80000,40,52,0,0,2,1,1,11.289781913656
706,47,0,0,10,30000,40,52,0,0,3,2,1,10.3089526606443
344,28,1,0,18,42000,36,52,0,0,3,1,7,10.6454248972655
536,55,0,0,9,54000,65,52,0,0,2,1,5,10.8967393255464
465,26,0,0,10,20000,40,50,0,0,1,1,1,9.90348755253613
460,39,0,0,13,117000,40,52,0,0,3,1,1,11.6699292137799
847,24,0,1,11,29000,70,52,0,0,3,1,1,10.2750511089686
146,48,0,0,16,34000,38,52,0,0,4,1,5,10.4341158035983
974,51,1,0,12,10000,40,52,0,0,3,1,1,9.21034037197618
964,62,0,1,8,47000,40,52,0,0,4,1,1,10.7579028806922
749,50,1,0,18,96000,45,52,0,0,1,1,7,11.47210347045
110,56,0,0,18,50000,40,50,0,0,2,1,1,10.8197782844103
6,68,0,0,11,35000,40,52,0,0,3,1,1,10.4631033404715
801,34,0,1,13,71656,65,52,0,0,4,1,1,11.179632170155
759,25,1,0,14,20900,40,52,0,0,4,1,7,9.9475044379529
279,43,0,0,12,24000,40,52,0,0,3,2,7,10.0858091093301
104,47,1,0,13,111000,40,52,0,0,1,1,1,11.6172854802945
424,50,0,0,16,389599,50,50,0,0,4,1,1,12.8728732840121
794,42,1,0,14,30000,40,52,0,0,1,1,1,10.3089526606443
207,39,1,0,16,105000,40,52,0,0,2,1,5,11.5617156291397
545,38,0,0,13,42900,60,50,0,0,2,1,1,10.6666271049161
607,33,0,0,16,50000,52,52,0,0,3,2,1,10.8197782844103
652,37,0,0,16,70000,50,52,0,0,3,1,1,11.1562505210315
366,34,1,1,13,32000,40,52,1,0,2,1,1,10.3734911817819
825,43,1,0,14,30000,50,52,0,0,4,1,1,10.3089526606443
779,47,0,0,13,35000,45,52,0,0,3,2,1,10.4631033404715
329,58,0,0,18,94000,48,52,0,0,3,1,5,11.4510500612521
35,32,0,0,12,29355,65,52,0,0,4,1,1,10.2872181684983
803,46,1,0,12,40000,40,52,0,0,4,1,6,10.5966347330961
404,45,1,0,13,25000,40,52,0,0,2,1,1,10.1266311038503
291,40,0,1,11,19202,40,52,0,0,3,1,1,9.86276971925757
736,46,0,0,14,45000,51,52,0,0,1,1,1,10.7144177687525
239,34,0,0,16,70000,40,52,0,0,4,1,1,11.1562505210315
102,60,0,0,16,70000,40,52,0,0,4,1,1,11.1562505210315
528,62,1,0,12,30000,40,52,0,0,3,1,1,10.3089526606443
53,45,1,0,12,50000,40,52,0,0,2,1,1,10.8197782844103
383,30,0,0,12,35000,60,52,0,0,4,1,1,10.4631033404715
442,56,0,0,13,50000,40,52,0,0,1,1,1,10.8197782844103
177,43,1,0,12,170000,40,52,0,0,4,1,1,12.0435537160324
953,27,1,0,13,37000,40,52,0,0,4,5,7,10.5186731916264
337,44,1,0,13,16000,40,52,0,0,2,1,1,9.68034400122192
348,23,0,1,12,15000,40,52,0,0,2,1,1,9.61580548008435
464,28,1,1,12,35000,40,52,0,0,2,1,1,10.4631033404715
984,33,1,0,12,16848,40,52,0,0,3,1,5,9.73198723437376
373,34,0,0,13,62000,50,52,0,0,4,4,1,11.0348896640272
527,37,0,0,13,45000,45,52,0,0,2,1,1,10.7144177687525
114,66,1,0,12,11000,40,50,0,0,3,2,1,9.30565055178051
187,39,0,0,18,33840,40,52,0,0,4,1,5,10.4293988137202
821,46,0,0,14,39208,50,52,0,0,2,1,1,10.5766360865894
221,47,1,1,14,20000,50,52,0,0,2,1,1,9.90348755253613
712,37,1,1,14,32000,40,52,0,0,2,1,7,10.3734911817819
593,45,1,0,13,55000,40,52,0,0,3,1,3,10.9150884642146
990,37,1,0,13,30000,40,52,0,0,2,1,1,10.3089526606443
713,41,0,0,12,70000,50,52,0,0,4,1,1,11.1562505210315
807,34,1,0,12,28000,40,52,0,0,3,1,1,10.2399597891573
130,37,0,0,18,72500,40,52,0,0,1,4,7,11.1913418408428
403,50,1,1,16,70000,60,52,0,0,4,1,1,11.1562505210315
950,58,0,1,18,50000,40,52,0,0,4,1,5,10.8197782844103
365,24,1,0,18,45000,45,52,0,0,3,1,1,10.7144177687525
541,29,1,1,12,24000,40,52,0,0,4,1,1,10.0858091093301
310,40,0,0,16,104000,45,52,0,0,1,1,1,11.5521461781235
934,59,0,0,13,91000,50,52,0,0,3,1,1,11.418614785499
772,51,1,0,12,25480,40,52,0,0,1,1,1,10.1456491096861
815,37,1,0,16,22000,40,52,0,0,1,1,1,9.99879773234045
38,51,1,0,16,31000,40,52,0,0,4,4,7,10.3417424834673
69,34,0,1,16,60000,40,52,0,0,3,1,1,11.0020998412042
976,41,1,0,12,23000,40,52,0,0,1,1,5,10.0432494949113
46,32,0,0,12,98000,40,52,0,0,4,18,1,11.4927227576527
20,51,0,0,12,23200,40,52,0,0,4,1,1,10.0519075576544
77,39,0,0,14,53000,48,52,0,0,2,1,1,10.8780471925343
26,40,0,0,12,35000,40,50,0,0,1,1,7,10.4631033404715
443,46,0,1,12,50000,40,52,0,0,4,1,1,10.8197782844103
278,31,1,0,16,36000,40,52,0,0,2,2,7,10.4912742174382
546,54,1,0,14,16900,46,52,0,0,2,2,1,9.73506890091116
993,48,0,1,6,30000,40,52,0,0,4,1,1,10.3089526606443
827,38,0,0,12,32000,40,52,0,0,1,1,1,10.3734911817819
705,37,0,0,16,130000,40,52,0,0,3,1,7,11.7752897294377
426,57,0,0,18,82000,40,52,0,0,4,1,1,11.3144745262464
371,50,0,0,16,55000,40,52,0,0,2,1,1,10.9150884642146
589,45,0,0,18,54000,40,52,0,0,3,1,5,10.8967393255464
301,27,1,0,16,63000,40,52,0,0,3,1,1,11.0508900053737
625,55,1,0,18,43000,40,52,0,0,2,1,1,10.6689553946757
771,48,1,0,16,60000,40,52,0,0,3,1,1,11.0020998412042
826,60,1,0,12,23883,40,52,0,0,1,1,4,10.0809221877567
746,62,1,0,18,54000,36,52,0,0,2,1,1,10.8967393255464
242,47,0,0,20,140000,55,52,0,0,3,1,1,11.8493977015914
412,46,1,0,12,16000,40,52,0,0,2,1,1,9.68034400122192
672,44,0,1,6,33800,50,52,0,0,3,1,3,10.4282160814711
775,53,1,0,8,25000,40,52,0,0,3,1,1,10.1266311038503
379,39,0,0,16,60000,45,52,0,0,4,1,1,11.0020998412042
936,22,1,0,12,12000,40,52,0,0,2,2,7,9.39266192877014
781,46,0,0,16,55000,40,52,0,0,4,1,5,10.9150884642146
517,52,0,0,18,100000,40,52,0,0,4,1,1,11.5129254649702
840,56,1,0,13,26000,40,52,0,0,4,1,5,10.1658518170036
952,51,1,0,14,36000,40,52,0,0,2,1,1,10.4912742174382
735,29,0,0,13,75000,50,52,0,0,3,1,1,11.2252433925184
151,33,0,0,16,44000,40,52,0,0,3,2,1,10.6919449129004
305,33,0,0,12,22000,40,52,0,0,3,2,7,9.99879773234045
436,50,0,0,16,62000,60,52,0,0,3,1,1,11.0348896640272
79,24,0,1,12,54000,40,52,0,0,4,1,7,10.8967393255464
495,53,1,0,11,15000,40,52,0,0,1,2,6,9.61580548008435
575,50,1,0,16,50000,40,52,0,0,3,1,7,10.8197782844103
467,36,1,1,13,29000,40,52,0,0,4,3,7,10.2750511089686
179,26,1,0,14,43000,36,52,0,0,1,1,5,10.6689553946757
769,50,0,0,13,80000,50,52,0,0,3,1,5,11.289781913656
434,73,0,0,20,58055,40,52,0,0,4,1,1,10.9691461160611
499,52,0,0,13,23000,40,52,0,0,3,1,1,10.0432494949113
206,24,1,0,14,25000,60,52,0,0,3,1,7,10.1266311038503
331,43,1,0,12,76000,40,52,0,0,4,1,1,11.2384886192685
680,29,1,0,13,30000,60,52,0,0,1,1,1,10.3089526606443
230,44,0,0,20,92000,50,52,0,0,2,1,1,11.4295438560312
139,44,0,1,14,111000,40,52,0,0,1,1,1,11.6172854802945
122,55,0,0,16,43000,52,52,0,0,2,2,5,10.6689553946757
368,39,0,0,12,40000,60,52,0,0,1,1,1,10.5966347330961
685,40,1,0,13,12500,37,52,0,0,2,1,1,9.43348392329039
210,36,0,0,14,42000,40,52,0,0,1,1,1,10.6454248972655
459,48,1,1,16,12000,40,52,0,0,3,1,1,9.39266192877014
78,51,1,0,13,12000,40,52,0,0,2,1,7,9.39266192877014
302,37,0,1,16,48000,40,52,0,0,3,1,1,10.77895628989
163,30,0,0,13,50000,40,52,0,0,2,4,6,10.8197782844103
131,32,1,0,14,38000,38,52,0,0,1,1,1,10.5453414387085
247,29,0,0,13,32000,40,52,0,0,3,1,7,10.3734911817819
842,41,0,0,16,150000,50,52,0,0,3,1,1,11.9183905730784
908,39,0,0,16,73000,52,52,0,0,2,1,1,11.1982147201305
262,42,0,0,16,53177,50,52,1,0,3,1,7,10.8813812510208
440,59,0,0,16,44000,60,52,0,0,1,1,1,10.6919449129004
693,55,0,0,12,60000,40,52,0,0,1,1,1,11.0020998412042
567,60,1,0,13,35000,40,52,0,0,2,1,5,10.4631033404715
133,32,1,0,12,15000,40,52,0,0,1,1,1,9.61580548008435
338,52,1,1,16,20000,40,52,0,0,1,1,1,9.90348755253613
113,34,1,0,14,59000,40,52,0,0,4,1,1,10.9852927228879
635,43,0,0,12,66000,55,52,0,0,2,1,1,11.0974100210086
595,24,0,0,16,68000,40,52,0,0,4,1,7,11.1272629841582
339,50,0,0,12,90000,40,52,0,0,2,1,1,11.4075649493124
643,34,0,0,12,36000,40,52,0,0,3,2,7,10.4912742174382
462,52,1,0,14,30002,40,52,0,0,4,1,1,10.3090193250888
67,28,0,0,16,22981,50,48,0,0,3,1,1,10.0424230665569
145,27,0,0,14,55000,40,52,0,0,1,1,6,10.9150884642146
531,63,0,0,12,45000,40,52,0,0,3,7,5,10.7144177687525
813,54,0,0,12,47000,50,52,0,0,3,1,1,10.7579028806922
91,68,1,1,10,24000,40,52,0,0,4,1,7,10.0858091093301
236,41,1,1,6,15000,40,52,0,0,4,1,6,9.61580548008435
977,34,0,0,12,45000,40,52,0,0,1,1,1,10.7144177687525
812,33,0,0,13,42000,40,52,0,0,4,1,1,10.6454248972655
648,31,0,0,14,76000,40,50,0,0,2,1,1,11.2384886192685
886,45,0,0,14,50000,45,52,0,0,2,1,1,10.8197782844103
743,26,0,0,12,24000,40,52,0,0,4,2,7,10.0858091093301
322,38,0,0,16,54500,40,52,0,0,3,3,1,10.9059559806513
121,32,1,0,13,28000,40,52,0,0,3,2,7,10.2399597891573
678,63,1,1,13,24000,40,52,0,0,4,1,5,10.0858091093301
833,39,0,0,14,93708,40,52,0,0,4,1,1,11.4479388434507
111,40,0,1,13,43000,38,52,0,0,3,1,1,10.6689553946757
560,52,0,0,16,43000,40,52,0,0,4,1,1,10.6689553946757
806,50,0,0,16,108000,40,52,0,0,2,1,1,11.5898865061064
350,44,1,0,12,35000,40,52,0,0,3,1,1,10.4631033404715
530,40,1,1,12,180000,40,52,0,0,3,1,1,12.1007121298723
175,56,1,1,16,62400,40,52,0,0,4,1,1,11.0413205543575
752,49,0,0,16,70000,40,52,1,0,4,1,1,11.1562505210315
347,53,0,1,6,31000,50,52,0,0,4,1,1,10.3417424834673
818,54,1,0,12,62000,36,52,0,0,2,1,5,11.0348896640272
189,33,1,1,16,21000,40,52,0,0,4,1,7,9.95227771670556
132,61,0,0,13,36000,40,52,0,0,3,1,1,10.4912742174382
717,49,0,0,12,55000,50,52,0,0,2,1,1,10.9150884642146
633,35,0,0,13,24000,40,52,0,0,3,1,1,10.0858091093301
940,47,1,0,12,100000,60,52,0,0,2,1,1,11.5129254649702
55,52,0,0,16,31000,40,52,0,0,4,1,1,10.3417424834673
660,43,1,0,13,53898,40,52,0,0,1,1,1,10.8948486504573
883,38,0,0,14,47000,45,52,0,0,1,1,1,10.7579028806922
134,48,0,0,13,70000,50,52,0,0,4,4,1,11.1562505210315
61,42,1,1,16,32000,40,52,0,0,3,1,1,10.3734911817819
570,24,0,0,13,35000,50,52,0,0,4,4,1,10.4631033404715
688,40,1,0,13,21000,40,52,0,0,3,1,5,9.95227771670556
900,41,1,0,12,36000,40,52,0,0,1,1,1,10.4912742174382
398,30,0,0,13,34635,40,52,0,0,2,2,1,10.4526200104567
273,30,0,0,13,65000,45,52,0,0,4,3,7,11.0821425488778
120,26,1,0,12,24000,64,52,0,0,2,1,7,10.0858091093301
286,20,1,0,12,22600,40,52,0,0,4,1,7,10.0257051852604
617,61,1,0,12,31000,40,52,0,0,2,1,1,10.3417424834673
205,48,1,0,16,60000,50,52,0,0,4,1,1,11.0020998412042
884,49,0,0,14,55000,40,52,0,0,3,2,1,10.9150884642146
650,32,1,1,12,62908,40,52,0,0,4,1,1,11.0494286206106
604,58,0,0,16,60000,50,52,0,0,3,1,5,11.0020998412042
208,70,1,0,13,180000,40,52,0,0,4,1,5,12.1007121298723
483,39,1,0,12,35000,40,52,0,0,3,2,5,10.4631033404715
882,47,0,0,13,80000,40,52,0,0,2,1,1,11.289781913656
700,42,0,0,12,389599,40,52,0,0,1,1,5,12.8728732840121
549,41,0,0,12,72000,70,52,0,0,2,1,1,11.1844213979982
928,36,1,1,6,10000,40,52,0,0,3,3,1,9.21034037197618
330,44,0,0,12,60000,40,52,0,0,2,1,1,11.0020998412042
59,55,0,0,14,90000,40,52,0,0,4,4,1,11.4075649493124
579,51,0,0,16,74000,45,52,0,0,2,1,1,11.2118203721863
386,34,0,1,12,33000,45,52,0,0,4,1,1,10.4042628404486
238,34,0,0,16,34000,40,52,0,0,1,1,7,10.4341158035983
508,40,0,0,18,86500,50,51,0,0,4,1,7,11.36789969292
127,35,1,0,16,51000,49,52,0,0,1,2,7,10.8395809117065
811,47,1,0,16,35000,45,52,0,0,3,1,1,10.4631033404715
429,44,1,0,16,40000,40,52,0,0,2,1,6,10.5966347330961
972,29,0,0,12,72000,42,52,0,0,1,1,5,11.1844213979982
992,43,1,0,16,44000,36,52,0,0,3,1,1,10.6919449129004
172,30,0,0,12,30000,40,52,0,0,1,1,7,10.3089526606443
543,40,1,0,12,36000,70,52,0,0,1,1,1,10.4912742174382
80,39,0,0,12,70000,40,52,0,0,3,1,1,11.1562505210315
923,53,0,0,12,104000,40,52,0,0,3,1,1,11.5521461781235
157,34,0,1,12,65000,50,52,0,0,3,1,1,11.0821425488778
798,55,1,0,13,30000,54,52,0,0,4,1,5,10.3089526606443
101,47,1,0,14,54500,70,52,0,0,1,1,1,10.9059559806513
484,51,1,0,18,45000,50,52,0,0,3,4,1,10.7144177687525
170,55,0,0,20,110000,60,52,0,0,1,4,7,11.6082356447746
590,36,1,0,12,15000,40,52,0,0,4,1,1,9.61580548008435
687,44,0,0,16,70000,45,52,0,0,3,1,1,11.1562505210315
762,55,0,0,13,42000,40,52,0,0,3,7,6,10.6454248972655
849,54,0,0,13,85000,40,52,0,0,2,1,1,11.3504065354725
930,42,0,0,12,24000,45,52,0,0,3,1,1,10.0858091093301
520,63,1,0,8,27532,40,52,0,0,3,2,5,10.2231042435183
948,49,0,0,13,80000,50,52,0,0,2,1,1,11.289781913656
559,65,1,0,13,27480,40,52,0,0,4,2,1,10.2212137463363
479,31,0,0,18,63000,42,52,0,0,4,1,1,11.0508900053737
473,55,1,1,12,15000,40,52,0,0,3,1,1,9.61580548008435
819,40,0,0,13,60000,45,52,0,0,1,1,1,11.0020998412042
295,27,1,0,16,20484,45,52,0,0,1,1,7,9.92739937258244
73,48,1,0,14,50000,40,52,0,0,1,4,1,10.8197782844103
571,48,0,0,16,48000,45,52,0,0,4,1,1,10.77895628989
136,47,0,0,12,54000,40,52,0,0,4,4,5,10.8967393255464
390,45,1,0,16,32000,45,52,0,0,2,1,5,10.3734911817819
129,43,0,0,16,48000,40,52,0,0,4,4,1,10.77895628989
246,61,0,0,16,389599,50,52,0,0,4,1,1,12.8728732840121
698,39,0,0,16,107000,40,52,0,0,2,1,1,11.580584113444
160,56,0,0,18,86900,40,52,0,0,4,1,1,11.3725133112535
96,49,0,0,16,80000,40,52,0,0,1,1,1,11.289781913656
914,33,1,0,12,75000,40,52,0,0,4,1,1,11.2252433925184
694,25,0,1,8,15000,40,52,0,0,3,1,1,9.61580548008435
25,62,0,0,12,30000,45,52,0,0,3,1,1,10.3089526606443
400,54,0,0,13,85000,50,52,0,0,4,1,1,11.3504065354725
39,42,0,0,16,48000,38,52,0,0,4,1,1,10.77895628989
328,57,0,0,13,75500,40,52,0,0,4,1,1,11.2318879352371
387,65,0,0,14,54000,40,52,0,0,4,4,5,10.8967393255464
308,27,0,1,11,12000,40,50,0,0,3,1,1,9.39266192877014
679,62,1,0,12,33000,40,52,0,0,2,1,1,10.4042628404486
106,26,1,0,18,50000,36,52,0,0,1,1,7,10.8197782844103
573,54,0,0,14,60000,40,52,0,0,3,1,1,11.0020998412042
991,52,0,0,12,48000,40,52,0,0,4,1,7,10.77895628989
817,61,0,0,13,42000,40,52,0,0,3,1,1,10.6454248972655
945,54,0,0,12,40000,40,52,0,0,2,1,1,10.5966347330961
469,28,0,0,16,16000,40,52,0,0,3,1,7,9.68034400122192
709,32,1,0,14,25000,40,52,0,0,2,1,1,10.1266311038503
739,31,0,0,20,36000,40,52,0,0,4,1,1,10.4912742174382
624,50,0,0,20,300,50,52,0,0,4,4,1,5.7037824746562
889,66,0,0,16,44200,40,52,0,0,2,1,1,10.6964800680658
66,28,1,0,18,62900,60,52,0,0,2,1,7,11.0493014426885
191,49,1,0,12,33280,40,52,0,0,2,1,5,10.4127118949351
920,51,0,0,13,60000,40,52,0,0,4,1,1,11.0020998412042
768,44,0,1,12,42000,40,52,0,0,3,1,1,10.6454248972655
474,45,0,0,12,40000,50,52,0,0,2,1,1,10.5966347330961
81,52,0,0,11,70000,40,52,0,0,4,1,1,11.1562505210315
195,45,0,0,12,125000,45,52,0,0,4,1,1,11.7360690162844
881,30,1,0,18,71800,45,52,0,0,1,1,1,11.1816397550363
720,48,0,0,12,22000,40,52,0,0,2,1,1,9.99879773234045
763,61,0,0,12,32000,40,52,0,0,2,1,1,10.3734911817819
272,49,0,0,20,75000,50,52,0,0,3,4,1,11.2252433925184
832,52,0,0,16,389599,55,52,0,0,3,1,1,12.8728732840121
890,52,0,0,13,35000,42,52,0,0,1,1,1,10.4631033404715
790,40,1,0,14,15800,38,52,0,0,3,2,5,9.66776521901506
910,55,1,0,16,35000,40,52,0,0,2,1,1,10.4631033404715
962,22,0,1,12,15000,40,52,0,0,3,1,3,9.61580548008435
597,41,0,1,13,50000,55,52,0,0,3,1,1,10.8197782844103
169,26,0,0,14,52500,70,52,0,0,2,1,1,10.8685684485797
41,53,0,0,16,63000,40,52,0,0,1,1,1,11.0508900053737
885,45,1,0,13,38000,40,52,0,0,3,1,7,10.5453414387085
865,53,0,0,13,33000,40,52,0,0,2,1,1,10.4042628404486
598,24,0,1,13,20000,40,52,0,0,4,1,7,9.90348755253613
552,52,0,0,12,45000,40,52,0,0,4,8,5,10.7144177687525
697,45,1,0,16,64000,45,52,0,0,4,1,1,11.0666383623418
457,55,1,1,6,11000,40,52,0,0,4,1,1,9.30565055178051
251,44,1,1,14,80000,36,48,0,0,4,1,1,11.289781913656
831,52,0,0,13,25000,40,52,0,0,1,1,7,10.1266311038503
734,55,0,0,16,90000,60,52,0,0,1,1,1,11.4075649493124
568,35,0,0,12,40000,40,52,0,0,3,2,1,10.5966347330961
606,56,0,0,12,56000,40,52,0,0,1,1,1,10.9331069697173
229,52,1,0,10,22000,40,52,0,0,2,1,1,9.99879773234045
161,53,1,1,12,15240,65,52,0,0,3,1,1,9.63167882924064
898,37,1,0,14,24000,40,52,0,0,1,1,5,10.0858091093301
432,48,0,0,12,22000,40,52,0,0,1,1,1,9.99879773234045
147,24,1,0,11,23300,40,50,0,0,2,1,1,10.0562086395538
986,25,1,0,16,43000,40,52,0,0,2,1,7,10.6689553946757
115,56,0,0,16,52000,50,52,0,0,2,1,1,10.8589989975636
978,39,1,0,14,27000,65,52,0,0,2,3,5,10.2035921449865
518,33,0,0,14,50500,40,52,0,0,3,1,1,10.8297286152635
490,39,0,0,14,25000,40,52,0,0,3,1,1,10.1266311038503
553,55,0,0,12,80000,50,52,0,0,2,7,1,11.289781913656
733,44,1,0,12,42100,77,52,0,0,1,1,5,10.6478030196705
657,39,0,0,16,70000,45,52,0,0,3,1,1,11.1562505210315
336,50,0,0,13,389599,50,52,0,0,2,1,1,12.8728732840121
927,53,0,0,16,60000,50,52,0,0,2,1,5,11.0020998412042
640,53,0,0,12,52000,40,52,0,0,3,1,7,10.8589989975636
795,30,1,0,16,30000,40,52,0,0,3,1,7,10.3089526606443
802,32,0,0,16,40000,40,52,0,0,3,2,7,10.5966347330961
704,38,0,0,14,56000,40,52,0,0,4,2,1,10.9331069697173
561,41,1,0,16,38000,40,52,0,0,3,1,1,10.5453414387085
792,27,0,0,13,30000,40,52,0,0,2,1,1,10.3089526606443
401,34,0,0,16,80000,40,52,0,0,4,4,1,11.289781913656
785,52,1,0,18,48000,40,52,0,0,2,1,1,10.77895628989
891,42,1,0,16,51000,55,52,0,0,2,1,1,10.8395809117065
349,55,1,0,13,35000,40,52,0,0,3,2,1,10.4631033404715
577,41,1,0,13,30000,40,52,0,0,3,2,5,10.3089526606443
641,48,0,0,12,43200,55,52,0,0,3,1,1,10.6735957742322
586,29,0,1,12,20800,40,52,0,0,3,1,7,9.94270826568941
767,63,0,1,13,24000,48,51,0,0,4,1,1,10.0858091093301
392,23,1,0,16,36400,40,52,0,0,3,1,7,10.5023240536248
837,49,0,0,13,65000,40,52,0,0,3,1,1,11.0821425488778
747,52,1,0,18,91000,53,52,0,0,1,1,5,11.418614785499
845,49,0,1,12,35000,45,52,0,0,2,1,1,10.4631033404715
482,44,0,0,13,60000,40,52,0,0,2,1,1,11.0020998412042
265,29,1,0,13,20000,40,52,0,0,2,1,7,9.90348755253613
374,49,0,0,12,15535,40,52,0,0,3,1,1,9.65085082182715
786,22,1,0,12,33000,40,52,0,0,4,2,7,10.4042628404486
