"","country","co2","population","gni"
"126","Gabon",2.57423,1.56,12869.57
"127","Bahamas, The",2.46422,0.36,7702.5
"128","Zambia",2.428,13.22,18902.38
"129","Suriname",2.384,0.52,4330.41
"130","West Bank and Gaza",2.365,3.81,9512.2
"131","Mauritania",2.215,3.61,3444.76
"132","Haiti",2.11953,9.9,6644.82
"133","Congo, Rep.",2.02785,4.11,9024.21
"134","Madagascar",2.013,21.08,8643.3
"135","Iceland",1.96185,0.32,11112.24
"136","Lao PDR",1.874,6.4,6713.29
"137","Guyana",1.70149,0.79,2272.06
"138","Burkina Faso",1.68315,15.54,9202.85
"139","Togo",1.54,6.31,2761.61
"140","Barbados",1.50347,0.28,4321.85
"141","Niger",1.412,15.89,5674.42
"142","Fiji",1.29078,0.86,3043.13
"143","Malawi",1.239,15.01,5290.12
"144","Guinea",1.23578,10.88,4302.27
"145","Maldives",1.074,0.33,1822.8
"146","Macao SAR, China",1.03,0.53,25370.95
"147","Swaziland",1.023,1.19,3802.06
"148","Seychelles",0.704,0.09,926.08
"149","Sierra Leone",0.689,5.75,2606.6
"150","Mali",0.623,13.99,9003.28
"151","Rwanda",0.594,10.84,5656.02
"152","Antigua and Barbuda",0.51338,0.09,1104.05
"153","Eritrea",0.51338,5.74,2097.41
"154","Bermuda",0.47671,0.07,7201.48
"155","Bhutan",0.47671,0.72,1497.42
"156","Gambia, The",0.47304,1.68,921.9
"157","Chad",0.46938,11.72,10302.35
"158","Belize",0.42171,0.31,1258.61
"159","St. Lucia",0.403,0.18,1204.73
"160","Cabo Verde",0.3557,0.49,1591.15
"161","Burundi",0.30803,9.23,2014.76
"162","Central African Republic",0.26402,4.35,1981.47
"163","Grenada",0.26036,0.1,731.14
"164","St. Kitts and Nevis",0.249,0.05,663.27
"165","Guinea-Bissau",0.23836,1.59,846.57
"166","Palau",0.216,0.02,190.2
"167","St. Vincent and the Grenadines",0.209,0.11,668.95
"168","Solomon Islands",0.202,0.53,508.3
"169","Timor-Leste",0.183,1.07,3295
"170","Samoa",0.161,0.19,622.45
"171","Tonga",0.158,0.1,373.17
"172","Comoros",0.13935,0.68,529.36
"173","Dominica",0.13568,0.07,483.7
"174","Vanuatu",0.117,0.24,679.09
"175","Marshall Islands",0.103,0.05,198.24
"176","Micronesia, Fed. Sts.",0.103,0.1,305.08
"177","Sao Tome and Principe",0.099,0.18,200.67
"178","Kiribati",0.06234,0.1,211.8
"179","Lesotho",0.018,2.01,2594.04
